name,source
GRB240905,Fermi
GRB180703B,Fermi
GRB180703A,Fermi
GRB170409A,Fermi
GRB170214A,Fermi
GRB170115B,Fermi
GRB190530A,Fermi
GRB180718B,Fermi
GRB251118A,Fermi
