pl_name,hostname,sy_snum,sy_pnum,discoverymethod,disc_year,pl_orbper,pl_rade,pl_bmasse,pl_eqt,st_teff,st_rad,st_mass,sy_dist
Kepler-1442 b,Kepler-1442,1,1,Transit,2016,81.4162941,3.93,14.7,522.0,6394.0,1.44,1.34,608.68
K2-59 b,K2-59,1,2,Transit,2016,20.6921,2.41,6.39,,5055.0,0.731,0.774,311.313
Kepler-1200 b,Kepler-1200,1,1,Transit,2016,1.118549717,1.06,1.2,1174.0,4612.0,0.7,0.74,588.715
Kepler-698 b,Kepler-698,1,1,Transit,2016,16.32976218,3.68,13.1,727.0,5612.0,0.91,0.94,1995.57
Kepler-1321 b,Kepler-1321,1,3,Transit,2016,11.12830484,4.92,21.5,408.0,4094.0,0.53,0.54,769.146
Kepler-1167 b,Kepler-1167,1,1,Transit,2016,1.003933739,1.71,3.57,1419.0,4971.0,0.75,0.79,820.905
Kepler-1581 b,Kepler-1581,1,1,Transit,2016,6.28385491,0.8,0.437,1108.0,6022.0,1.23,1.12,493.175
Kepler-644 b,Kepler-644,1,1,Transit,2016,3.173917103,3.15,10.1,1655.0,6747.0,1.81,1.49,1318.05
Kepler-1208 b,Kepler-1208,1,1,Transit,2016,11.08507637,2.32,5.99,665.0,5001.0,0.76,0.8,825.176
Kepler-1101 b,Kepler-1101,1,1,Transit,2016,81.3151059,2.47,6.66,393.0,5614.0,0.91,0.94,742.473
Kepler-560 b,Kepler-560,2,1,Transit,2016,18.47764449,1.72,3.61,298.0,3556.0,0.33,0.34,109.308
Kepler-498 b,Kepler-498,1,1,Transit,2016,9.61375356,3.03,9.43,931.0,5744.0,0.96,0.98,938.844
Kepler-817 b,Kepler-817,1,1,Transit,2016,3.990106229,9.03,60.2,1124.0,5861.0,1.03,1.03,1484.46
Kepler-937 b,Kepler-937,1,2,Transit,2016,67.668827,3.72,13.4,495.0,6095.0,1.22,1.15,1571.46
Kepler-571 b,Kepler-571,1,1,Transit,2016,4.798599388,2.64,7.46,978.0,5527.0,0.9,0.93,723.875
Kepler-1458 b,Kepler-1458,1,1,Transit,2016,47.9872764,2.76,8.05,493.0,5653.0,0.94,0.96,544.45
HIP 41378 f,HIP 41378,1,6,Transit,2016,542.07975,9.2,12.0,294.0,6320.0,1.273,1.16,106.289
Kepler-626 b,Kepler-626,1,1,Transit,2016,14.48585199,2.29,5.86,784.0,5813.0,1.05,1.01,635.643
K2-39 b,K2-39,1,1,Transit,2016,4.60543,6.27704,28.6047,1670.0,4881.0,2.97,0.66,307.47
Kepler-1549 b,Kepler-1549,1,1,Transit,2016,214.886545,2.57,7.13,286.0,5324.0,0.84,0.88,803.052
K2-62 c,K2-62,1,2,Transit,2016,16.19697,1.99,4.62,495.0,4455.0,0.696,0.67,112.467
Kepler-1149 b,Kepler-1149,1,1,Transit,2016,3.73089898,1.44,2.67,1128.0,5833.0,1.01,1.02,1217.73
Kepler-1288 b,Kepler-1288,1,1,Transit,2016,2.76122421,1.12,1.46,2017.0,6132.0,1.29,1.2,814.078
Kepler-1245 b,Kepler-1245,1,2,Transit,2016,4.35409304,1.44,2.67,1043.0,5306.0,0.83,0.86,805.936
Kepler-1068 b,Kepler-1068,1,1,Transit,2016,16.92344113,3.63,12.8,702.0,5806.0,1.01,1.01,1473.61
Kepler-1506 b,Kepler-1506,1,1,Transit,2016,14.0329154,1.32,2.3,783.0,5676.0,0.93,0.95,2366.02
HD 3167 b,HD 3167,1,4,Transit,2016,0.959641,1.67,4.97,1774.0,5261.0,0.88,0.837,47.2899
HD 3167 c,HD 3167,1,4,Transit,2016,29.8454,3.0,11.13,564.0,5261.0,0.88,0.837,47.2899
Kepler-595 b,Kepler-595,1,2,Transit,2016,25.3029092,3.708,17.4,535.0,5138.5,0.821,0.93,643.009
Kepler-641 b,Kepler-641,1,1,Transit,2016,9.48961571,1.85,4.08,926.0,5713.0,1.13,1.02,969.918
Kepler-1398 c,Kepler-1398,1,2,Transit,2016,4.13827595,1.03,1.08,1324.0,6126.0,1.18,1.13,852.204
Kepler-654 b,Kepler-654,1,1,Transit,2016,13.72465129,2.07,4.94,831.0,5865.0,1.11,1.04,974.124
Kepler-871 b,Kepler-871,1,1,Transit,2016,22.0459018,3.74,13.5,640.0,5993.0,1.14,1.11,1976.05
Kepler-696 b,Kepler-696,1,1,Transit,2016,4.190425575,6.14,31.3,1234.0,5903.0,1.08,1.06,1416.44
Kepler-1298 b,Kepler-1298,1,1,Transit,2016,7.12811928,1.31,2.27,1373.0,6339.0,2.0,1.45,544.163
Kepler-677 b,Kepler-677,1,1,Transit,2016,6.57531678,5.38,25.0,1015.0,5723.0,0.99,1.0,1954.08
Kepler-1243 b,Kepler-1243,1,1,Transit,2016,16.8320729,1.75,3.71,690.0,5667.0,0.94,0.96,758.17
Kepler-1241 b,Kepler-1241,1,1,Transit,2016,18.5525701,2.63,7.41,612.0,5261.0,0.8,0.84,968.722
K2-26 b,K2-26,1,1,Transit,2016,14.5665,2.67,7.61,430.0,3785.0,0.52,0.56,99.0504
BD+15 2375 b,BD+15 2375,1,1,Radial Velocity,2016,153.22,13.8,337.21763,,4649.0,8.95,1.08,768.045
HD 5583 b,HD 5583,1,1,Radial Velocity,2016,139.35,12.8,1837.0574,,4830.0,9.09,1.01,219.216
HD 12484 b,HD 12484,1,1,Radial Velocity,2016,58.83,13.2,947.1334,,5920.0,1.001848,1.01,48.3367
HIP 65407 b,HIP 65407,1,2,Radial Velocity,2016,28.125,14.3,136.03124,,5460.0,0.952252,0.93,61.7804
HIP 109384 b,HIP 109384,1,1,Radial Velocity,2016,499.48,13.5,495.8148,,5180.0,0.831075,0.78,58.9582
HD 220842 b,HD 220842,2,1,Radial Velocity,2016,218.47,13.1,1010.6994,,5960.0,1.41647,1.13,64.6498
Kepler-945 b,Kepler-945,1,1,Transit,2016,31.0033814,2.63,7.41,616.0,5718.0,0.97,0.97,1651.25
KELT-15 b,KELT-15,2,1,Transit,2016,3.32944,19.50366,416.3573,1642.0,6003.0,1.78,2.06,324.683
Kepler-1130 b,Kepler-1130,2,3,Transit,2016,5.45298175,0.8,0.437,904.0,5403.0,0.81,0.9,249.343
Kepler-1213 b,Kepler-1213,1,1,Transit,2016,5.34982412,1.19,1.81,1156.0,6050.0,1.21,1.14,807.812
Kepler-1020 b,Kepler-1020,1,1,Transit,2016,96.9151496,2.28,5.82,325.0,5227.0,0.8,0.87,415.358
Kepler-682 b,Kepler-682,1,1,Transit,2016,12.611906672,7.37,42.6,753.0,5559.0,0.89,0.92,1979.25
Kepler-579 b,Kepler-579,1,1,Transit,2016,9.66857723,2.0,4.66,730.0,5636.0,0.96,0.99,530.765
Kepler-1074 b,Kepler-1074,1,1,Transit,2016,5.94566534,1.25,2.1,568.0,4002.0,0.57,0.6,250.817
Kepler-700 b,Kepler-700,1,1,Transit,2016,80.8720639,5.99,30.0,452.0,5692.0,0.96,0.98,1491.76
Kepler-948 b,Kepler-948,1,1,Transit,2016,7.76846622,1.85,4.08,841.0,5679.0,0.94,0.96,868.017
Kepler-1278 b,Kepler-1278,1,1,Transit,2016,3.23941344,1.01,1.01,1213.0,6074.0,1.16,1.11,889.426
Kepler-472 b,Kepler-472,1,1,Transit,2016,4.176255514,3.22,10.5,876.0,4996.0,0.78,0.85,306.602
Kepler-1129 b,Kepler-1129,1,2,Transit,2016,24.3397804,2.96,9.06,737.0,5831.0,1.0,1.0,1183.88
Kepler-1275 b,Kepler-1275,1,1,Transit,2016,3.65691115,1.48,2.79,1368.0,6296.0,1.36,1.23,1153.98
WASP-138 b,WASP-138,1,1,Transit,2016,3.634433,12.21781,387.7526,1590.0,6272.0,1.36,1.22,414.234
K2-8 c,K2-8,1,2,Transit,2016,5.06416,2.41,6.39,801.0,4870.0,0.74,0.78,403.513
Kepler-1339 b,Kepler-1339,1,1,Transit,2016,1.341555127,0.71,0.285,1642.0,5586.0,0.93,0.94,371.049
Kepler-694 b,Kepler-694,1,1,Transit,2016,6.365841612,2.8,8.25,914.0,5700.0,0.95,0.97,1023.06
Kepler-919 b,Kepler-919,1,1,Transit,2016,11.04603384,2.25,5.69,869.0,6113.0,1.21,1.15,1119.87
Kepler-1121 b,Kepler-1121,1,1,Transit,2016,13.15141081,1.91,4.31,1008.0,6231.0,1.59,1.29,482.047
Kepler-720 b,Kepler-720,1,1,Transit,2016,4.708326542,8.41,53.4,1162.0,5618.0,0.92,0.95,1065.37
Kepler-1118 b,Kepler-1118,1,1,Transit,2016,38.6715075,2.74,7.95,502.0,5688.0,0.97,0.96,888.325
Kepler-620 b,Kepler-620,1,1,Transit,2016,12.91375431,3.32,11.0,849.0,6155.0,1.22,1.15,1355.28
Kepler-1471 b,Kepler-1471,1,2,Transit,2016,3.63899398,1.41,2.57,1238.0,5660.0,0.93,0.95,978.678
HD 95872 b,HD 95872,1,1,Radial Velocity,2015,4375.0,13.0,1188.6842,,5312.0,0.84,0.7,72.2195
K2-10 b,K2-10,1,1,Transit,2015,19.30553,3.773,25.2,649.0,5533.0,0.956,0.88,272.36
K2-25 b,K2-25,1,1,Transit,2015,3.48456408,3.44,24.5,494.0,3207.0,0.2932,0.2634,44.9565
HD 1605 c,HD 1605,1,2,Radial Velocity,2015,2149.0,13.0,1150.5446,,4915.0,3.49,1.33,88.8047
51 Eri b,51 Eri,3,1,Imaging,2015,9100.0,,3464.3296363,700.0,7295.0,1.48726,1.75,29.7575
KELT-7 b,KELT-7,1,1,Transit,2015,2.73477,17.9344,441.7837,2048.0,6768.0,1.81,1.76,136.681
Kepler-453 b,Kepler-453,2,1,Transit,2015,240.503,6.204,16.0,,5527.0,0.833,0.944,442.846
WASP-83 b,WASP-83,1,1,Transit,2015,4.971252,11.65736,95.349,1120.0,5510.0,1.05,1.11,271.103
KIC 3558849 b,KIC 3558849,1,1,Transit,2015,1322.3,6.9,38.1,,6175.0,1.01,0.98,1215.7
Kepler-440 b,Kepler-440,1,1,Transit,2015,101.11141,1.86,4.12,229.0,4134.0,0.559,0.575,301.03
Kepler-447 b,Kepler-447,1,1,Transit,2015,7.79430132,18.49,435.41,882.0,5493.0,1.05,1.0,268.041
WASP-89 b,WASP-89,1,1,Transit,2015,3.3564227,11.65736,1875.197,1120.0,5130.0,0.88,0.92,290.946
K2-13 b,K2-13,1,1,Transit,2015,39.91488,1.89,4.23,511.0,5698.0,0.78,0.8,342.394
KIC 8540376 b,KOI-7892,1,3,Transit,2015,31.8099,4.1,15.8,,6474.0,1.26,1.04,1072.3
KIC 8540376 c,KOI-7892,1,3,Transit,2015,75.2,2.4,6.35,,6474.0,1.26,1.04,1072.3
Kepler-436 b,Kepler-436,1,2,Transit,2015,64.00205,2.73,7.9,322.0,4651.0,0.697,0.729,588.867
Kepler-441 b,Kepler-441,1,1,Transit,2015,207.2482,1.64,3.33,189.0,4340.0,0.55,0.572,268.003
WASP-20 b,WASP-20,2,1,Transit,2015,4.8996284,16.388,98.841,1379.0,5940.0,1.392,1.2,211.877
K2-14 b,K2-14,1,1,Transit,2015,8.36802,4.81,20.7,488.0,3789.0,0.45,0.47,364.048
K2-15 b,K2-15,1,1,Transit,2015,11.8104,2.48,6.71,676.0,5131.0,0.68,0.72,493.992
K2-17 b,K2-17,1,1,Transit,2015,17.96753,2.23,5.6,487.0,4320.0,0.66,0.71,125.106
KIC 10525077 b,KIC 10525077,1,1,Transit,2015,854.083,5.5,25.9,,6091.0,1.01,1.01,1461.15
KIC 5437945 b,KIC 5437945,1,2,Transit,2015,440.7813,6.4,33.6,308.0,6340.0,1.24,1.07,1274.01
Kepler-442 b,Kepler-442,1,1,Transit,2015,112.3053,1.34,2.36,241.0,4402.0,0.598,0.609,365.965
HD 67087 b,HD 67087,1,2,Radial Velocity,2015,352.2,13.1,973.0,,6330.0,1.55,1.36,76.5217
HATS-13 b,HATS-13,1,1,Transit,2015,3.0440499,13.585308,172.58169,1244.0,5523.0,0.887,0.962,421.855
HD 33844 c,HD 33844,1,2,Radial Velocity,2015,916.0,13.5,556.2025,,4861.0,5.29,1.78,105.779
HD 32963 b,HD 32963,1,1,Radial Velocity,2015,2372.0,13.4,657.90480249,,5727.0,1.111044,0.94,38.0786
Kepler-437 b,Kepler-437,1,1,Transit,2015,66.65062,2.14,5.22,308.0,4551.0,0.68,0.707,304.0
OGLE-2012-BLG-0563L b,OGLE-2012-BLG-0563L,1,1,Microlensing,2015,,13.6,120.0,,,,0.34,1300.0
