name,dm,repeating,host,period_days
FRB 20121102A,557,True,Dwarf galaxy,
FRB 20180916B,348,True,,16.35
FRB 20200120E,87,True,M81 globular,
FRB 20220912A,219,True,Unknown,
FRB 20200428,332,False,Milky Way magnetar,
