name,z,type,magnitude,black_hole_mass
3C 273,0.158,Quasar,12.9,
3C 279,0.536,Blazar,17.8,
Markarian 421,0.031,BL Lac,13.3,
OJ 287,0.306,BL Lac,14.0,
S5 0014+81,3.366,Quasar,16.5,
TON 618,2.219,Quasar,,66 billion M☉
Phoenix A,0.596,BCG,,100 billion M☉
