t,agent_id,phase,CE,internal_error,H_narr,omega_modes_active,reconstruction_error,qfield_coherence,qfield_energy,phase_curvature,phase_speed,near_attractor,lambda_decoherence,collapse_pressure,psi_norm,phase_entropy
1,NEO,warmup,0.9999999999992619,0.034930870975862,0.0,0,0.0,0.07122961209319834,0.7620206065240349,0.0,0.0,False,0.0,0.0,0.9999999999999998,0.6108643020548935
1,EVA,warmup,1.0,0.013279778414453733,0.0,0,0.0,0.10235260513698696,0.7520977831715541,0.0,0.0,False,0.0,0.0,0.9999999999999998,0.6730116670092565
1,ALEX,warmup,0.9999999955093815,0.050214862842625295,0.0,0,0.0,0.08015415831052464,0.7463624944349753,0.0,0.0,False,0.0,0.0,0.9999999999999998,0.6931471805599453
1,ADAM,warmup,0.999999916372972,0.05885799177784219,0.0,0,0.0,0.07773712648553188,0.7513347559174947,0.0,0.0,False,0.0,0.0,0.9999999999999998,0.6730116670092565
1,IRIS,warmup,1.0,0.010346915574678695,0.0,0,0.0,0.1852739511890863,0.6814050827283743,0.0,0.0,False,0.0,0.0,0.9999999999999999,0.6730116670092565
2,NEO,warmup,1.0,0.004610614402094814,0.0,0,0.0,0.07835409233628277,0.7534112242692768,0.0,0.43047534905580614,False,0.0,0.0,0.9999999999999998,0.6108643020548935
2,EVA,warmup,1.0,0.004595943489537684,0.0,0,0.0,0.08427915940881747,0.7524791267049695,0.0,0.43035193676115685,False,0.0,0.0,0.9999999999999998,0.6730116670092565
2,ALEX,warmup,1.0,0.006485528546472255,0.0,0,0.0,0.14645645979713662,0.7035618706291442,0.0,0.5175180317086747,False,0.0,0.0,0.9999999999999998,0.6931471805599453
2,ADAM,warmup,1.0,0.013910505094114114,0.0,0,0.0,0.15016304112945822,0.7244325937968938,0.0,0.7507619290280191,False,0.0,0.0,0.9999999999999998,0.6730116670092565
2,IRIS,warmup,1.0,0.003285510537971512,0.0,0,0.0,0.2838348748813557,0.6326254126440901,0.0,0.36298329424826214,False,0.0,0.0,0.9999999999999999,0.6730116670092565
3,NEO,warmup,1.0,0.009013625499170013,0.0,0,0.0,0.5669746521416049,0.5832298890037144,0.0,0.605385332661478,False,0.0,0.0,0.9999999999999998,0.6108643020548935
3,EVA,warmup,1.0,0.006194046206509629,0.0,0,0.0,0.6133775183770634,0.7307203169839496,0.0,0.3226124312760143,False,0.0,0.0,0.9999999999999998,0.6730116670092565
3,ALEX,warmup,1.0,0.012800787137212558,0.0,0,0.0,0.4079803358193301,0.737453527114721,0.0,0.4540995791137158,False,0.0,0.0,0.9999999999999998,0.6931471805599453
3,ADAM,warmup,1.0,0.015636571720324666,0.0,0,0.0,0.5726819653597763,0.7288514712233443,0.0,0.583652638486144,False,0.0,0.0,0.9999999999999998,0.6730116670092565
3,IRIS,warmup,1.0,0.006340143562517388,0.0,0,0.0,0.5618179711703977,0.756794884500597,0.0,0.40794846269886276,False,0.0,0.0,0.9999999999999999,0.6730116670092565
4,NEO,warmup,1.0,0.02127817789818625,0.0,0,0.0,0.5194757087935308,0.7490601584984982,1.246314637083051,0.6986934064750085,False,0.0,0.0,1.0003158475467375,0.8979457248567797
4,EVA,warmup,1.0,0.007354402326070565,0.0,0,0.0,0.43359858535542056,0.7326656933045566,1.197999540440214,0.4259310204599479,False,0.0,0.0,1.0002174581995409,0.6730116670092565
4,ALEX,warmup,1.0,0.020159369614118443,0.0,0,0.0,0.5154077213420134,0.6480947417846074,1.4686668534689953,0.8271054804892323,False,0.0,0.0,1.0001699488081606,0.9433483923290391
4,ADAM,warmup,1.0,0.018483209011755153,0.0,0,0.0,0.4990232789572127,0.7301914787199515,1.6639700963652153,0.7295332805469342,False,0.0,0.0,1.000045700487766,0.8979457248567797
4,IRIS,warmup,1.0,0.011618031195187973,0.0,0,0.0,0.5779776791362246,0.7815763078353459,1.6073130777325682,0.6056131014794749,False,0.0,0.0,1.0000171098870794,1.0549201679861442
5,NEO,warmup,1.0,0.018705367641858758,0.0,0,0.0,0.5259331073141104,0.7517034893382288,1.2917316288313068,0.5243744711842665,False,0.0,0.0,1.001913661493978,0.8979457248567797
5,EVA,warmup,1.0,0.007203444004741953,0.0,0,0.0,0.4336716816377727,0.7425122210311598,1.366097618418515,0.3766753014114823,False,0.0,0.0,1.0002325789949844,0.6730116670092565
5,ALEX,warmup,0.4565739411621772,0.014251562686025575,1.0,0,0.0,0.3319297871222319,0.5816011094919386,1.793672113267481,0.3620829966771664,False,0.2,0.48,0.8188769847376788,0.9433483923290391
5,ADAM,warmup,1.0,0.018479239024298336,0.0,0,0.0,0.35787463106390344,0.596005168677901,1.6810399487799936,0.5919225603767629,False,0.0,0.0,1.000341747779918,0.8979457248567797
5,IRIS,warmup,1.0,0.01471005354088469,0.0,0,0.0,0.6579064929444396,0.7815086004892948,1.3795910718128725,0.4306376898125742,False,0.0,0.0,1.0001975166044095,1.0888999753452238
6,NEO,warmup,1.0,0.02640491212616758,0.0,4,0.786550907885943,0.4369439703275564,0.6551673363146453,1.2235587739205853,0.5446445091387532,False,0.0,0.0,1.0019192003291357,0.8979457248567797
6,EVA,warmup,1.0,0.010331569392760755,0.0,3,0.619070300579141,0.388974709153532,0.7401941375800194,1.6076350360252185,0.6012066961681827,False,0.0,0.0,1.0002340771677702,0.6730116670092565
6,ALEX,warmup,0.4884678533081148,0.017952969872122696,0.9182958340544896,2,0.5075602372085223,0.3540777823080013,0.7914745815065907,1.581127661533344,0.5412217567522022,False,0.0016661121208849199,0.4444444444444445,0.8175744941890156,0.9433483923290391
6,ADAM,warmup,1.0,0.023588616178596908,0.0,4,0.5220690699624079,0.2990652736620213,0.7116259649602266,1.6720605862457945,0.7192575714063253,False,0.0,0.0,1.0003535485228932,0.6108643020548935
6,IRIS,warmup,1.0,0.01785181875941027,0.0,4,0.420587875625272,0.4637733852159471,0.7341559569229593,1.6956750837024082,0.7219754371020741,False,0.0,0.0,1.0002214044481106,1.0888999753452238
7,NEO,warmup,0.9999997133189618,0.029702099094746314,0.0,4,0.6731059346453903,0.3521590915081521,0.691987762428571,1.344058798493957,0.543134026072613,False,0.0,0.7346938775510204,1.0019241187030028,0.8979457248567797
7,EVA,warmup,0.9999999999994822,0.015482414525727402,0.0,2,0.6814340493925137,0.30995713999763147,0.7703508415697453,1.5664188434270354,0.6102254351040993,False,0.0,0.8571428571428572,1.0010277737902953,0.6730116670092565
7,ALEX,warmup,0.5207501005673609,0.02176329635512757,0.8112781244591328,3,0.6407199807981728,0.32908286527187824,0.7276216990980171,1.5227749504413937,0.6504966745665335,False,0.0028550230467897933,0.48979591836734687,0.8153268512526889,0.9433483923290391
7,ADAM,warmup,0.9999715349322484,0.02614325064651869,0.0,4,0.24521482028370434,0.34637704422281407,0.6089605715295059,1.6706019314393157,0.623475189883391,False,0.0,0.7346938775510204,1.0003843805142736,0.6730116670092565
7,IRIS,warmup,0.9999999999999751,0.018182434944152216,0.0,4,0.6895176132337625,0.43466054828462547,0.7526259727103316,1.7288106259008267,0.34185893295464453,False,0.0,0.8571428571428572,1.000249034309692,1.0549201679861442
8,NEO,warmup,0.999999367714203,0.03297197177480908,0.0,4,0.27019837010890896,0.3576915390908225,0.7646655406959365,1.397463803180367,0.5574233685920837,False,0.0,0.765625,1.0019687738261878,0.9502705392332347
8,EVA,warmup,0.9999999999987681,0.015588753889590351,0.0,3,0.14591305457550285,0.2833315281348016,0.7657835206939123,1.634350228516928,0.474348313448686,False,0.0,0.875,1.0010327143629454,0.6730116670092565
8,ALEX,warmup,0.5672277889322881,0.02217428304989281,0.7219280948873623,3,0.29080938143055846,0.3529816776324299,0.7233045576093364,1.554726650007959,0.6365228836278489,False,0.0019918814357197394,0.4375,0.8137143203708942,0.9433483923290391
8,ADAM,warmup,0.9999595536569952,0.028288176267155428,0.0,3,0.6899809067995372,0.3502215037100276,0.6547117945241735,1.6495841265605677,0.32186576238743025,False,0.0,0.765625,1.0006202800384423,0.8979457248567797
8,IRIS,warmup,0.9999999999998992,0.019463369342442607,0.0,3,0.19260813316318776,0.4501714007185462,0.6650965527368298,1.703588559921013,0.40328581556652915,False,0.0,0.875,1.000272931979864,1.0549201679861442
9,NEO,warmup,0.9999988130291089,0.0358231951990772,0.0,4,0.8696445143436419,0.35187322890668643,0.7518429974515604,1.4819510197754975,1.0781117454904603,False,0.0,0.8888888888888888,1.0019797817939051,0.9502705392332347
9,EVA,warmup,0.9999999999607048,0.0196272766537409,0.0,3,0.7634431631087764,0.3181262568382993,0.6933644955070558,1.672997287923671,0.5877853559363747,False,0.0,0.8888888888888888,1.0011153738523995,0.6730116670092565
9,ALEX,warmup,0.6053711828080199,0.02963366987316248,0.6500224216483541,2,0.6484083750942616,0.38782683684003816,0.6689412878717883,1.4939634217736792,0.6485337241824426,False,0.004331958634129812,0.3950617283950617,0.8101986189604924,0.9433483923290391
