timestamp,xray_flux
2025-11-29 02:32:00+00:00,6.543968567029879e-08
2025-11-29 02:32:00+00:00,2.6317304673284525e-06
2025-11-29 02:33:00+00:00,6.517979045383981e-08
2025-11-29 02:33:00+00:00,2.5994304451160133e-06
2025-11-29 02:34:00+00:00,7.456426232010926e-08
2025-11-29 02:34:00+00:00,2.6496800273889676e-06
2025-11-29 02:35:00+00:00,8.04769157980445e-08
2025-11-29 02:35:00+00:00,2.672166601769277e-06
2025-11-29 02:36:00+00:00,8.569438847416677e-08
2025-11-29 02:36:00+00:00,2.6839309157367097e-06
2025-11-29 02:37:00+00:00,7.703684445914405e-08
2025-11-29 02:37:00+00:00,2.6392594918434042e-06
2025-11-29 02:38:00+00:00,6.896542004142248e-08
2025-11-29 02:38:00+00:00,2.5917931907315506e-06
2025-11-29 02:39:00+00:00,6.283129749817817e-08
2025-11-29 02:39:00+00:00,2.578296061983565e-06
2025-11-29 02:40:00+00:00,6.370759564333639e-08
2025-11-29 02:40:00+00:00,2.5802492018556222e-06
2025-11-29 02:41:00+00:00,6.8439518940977e-08
2025-11-29 02:41:00+00:00,2.5605720566090895e-06
2025-11-29 02:42:00+00:00,6.253785045373661e-08
2025-11-29 02:42:00+00:00,2.5429242214158876e-06
2025-11-29 02:43:00+00:00,5.57783863541772e-08
2025-11-29 02:43:00+00:00,2.5231295239791507e-06
2025-11-29 02:44:00+00:00,6.207152836168461e-08
2025-11-29 02:44:00+00:00,2.5031083623616723e-06
2025-11-29 02:45:00+00:00,6.212940917293963e-08
2025-11-29 02:45:00+00:00,2.481615865690401e-06
2025-11-29 02:46:00+00:00,6.403232077900611e-08
2025-11-29 02:46:00+00:00,2.4832083909132052e-06
2025-11-29 02:47:00+00:00,7.302228510752684e-08
2025-11-29 02:47:00+00:00,2.492669864295749e-06
2025-11-29 02:48:00+00:00,7.894023923427085e-08
2025-11-29 02:48:00+00:00,2.503423274902161e-06
2025-11-29 02:49:00+00:00,9.273683332367e-08
2025-11-29 02:49:00+00:00,2.629830532896449e-06
2025-11-29 02:50:00+00:00,8.527375428002415e-08
2025-11-29 02:50:00+00:00,2.696315050343401e-06
2025-11-29 02:51:00+00:00,6.115472928058807e-08
2025-11-29 02:51:00+00:00,2.630911012602155e-06
2025-11-29 02:52:00+00:00,5.8112863854375973e-08
2025-11-29 02:52:00+00:00,2.580927684903145e-06
2025-11-29 02:53:00+00:00,6.814479291961106e-08
2025-11-29 02:53:00+00:00,2.562550434959121e-06
2025-11-29 02:54:00+00:00,7.434267246253512e-08
2025-11-29 02:54:00+00:00,2.5640706553531345e-06
2025-11-29 02:55:00+00:00,8.104488102844698e-08
2025-11-29 02:55:00+00:00,2.583352170404396e-06
2025-11-29 02:56:00+00:00,9.187315441749888e-08
2025-11-29 02:56:00+00:00,2.6513635020819493e-06
2025-11-29 02:57:00+00:00,1.1761336793369992e-07
2025-11-29 02:57:00+00:00,2.760549250524491e-06
2025-11-29 02:58:00+00:00,1.3220206085406971e-07
