t,S,N,C,delta
322,0.26038347,0.41560603,0.32401050,0.00251278
323,0.25625201,0.42177761,0.32197038,0.00770191
324,0.25994737,0.41932918,0.32072345,0.00460493
325,0.26128008,0.42020229,0.31851763,0.00272105
326,0.26784177,0.42648332,0.30567491,0.01573030
327,0.26694730,0.42448271,0.30856999,0.00363097
328,0.26332921,0.42207181,0.31459898,0.00743315
329,0.26217628,0.41628096,0.32154276,0.00911478
330,0.26336310,0.42105891,0.31557799,0.00773407
331,0.26772672,0.41314038,0.31913290,0.00971502
332,0.26865166,0.42362261,0.30772574,0.01551954
333,0.27430041,0.42423192,0.30146767,0.00845240
334,0.27499636,0.41897104,0.30603260,0.00699999
335,0.26640515,0.42330604,0.31028881,0.01052218
336,0.27624377,0.41556713,0.30818910,0.01269244
337,0.26923546,0.42286592,0.30789862,0.01012290
338,0.25723478,0.42842119,0.31434403,0.01471125
339,0.25220799,0.42565827,0.32213374,0.00967377
340,0.25603643,0.41683030,0.32713327,0.01084368
341,0.25153078,0.42568323,0.32278599,0.01084316
342,0.25143512,0.44177770,0.30678718,0.02269368
343,0.24577149,0.44122440,0.31300411,0.00842810
344,0.23318725,0.45922790,0.30758486,0.02262426
345,0.24019088,0.46048860,0.29932053,0.01090593
346,0.23745113,0.46593553,0.29661333,0.00667114
347,0.23276695,0.46796483,0.29926822,0.00575396
348,0.23694944,0.46815480,0.29489576,0.00605373
349,0.23434445,0.46972069,0.29593486,0.00321212
350,0.23791138,0.46441604,0.29767258,0.00662435
351,0.22948878,0.47608395,0.29442727,0.01475170
352,0.23995509,0.46043128,0.29961363,0.01953070
353,0.22680338,0.47499109,0.29820553,0.01967075
354,0.22949474,0.47274104,0.29776423,0.00353566
355,0.23344491,0.49008666,0.27646843,0.02774862
356,0.24235290,0.48093631,0.27671080,0.01277262
357,0.24286342,0.47132818,0.28580841,0.01324172
358,0.24240966,0.47326002,0.28433032,0.00247440
359,0.24188963,0.47300081,0.28510957,0.00097203
360,0.24079289,0.47878312,0.28042399,0.00752281
361,0.23729330,0.47371131,0.28899540,0.01055649
362,0.23851534,0.47414037,0.28734429,0.00209848
363,0.22831244,0.48301456,0.28867300,0.01358735
364,0.23398729,0.47730763,0.28870508,0.00804823
365,0.23227865,0.47361251,0.29410884,0.00676565
366,0.23015090,0.48327670,0.28657241,0.01243871
367,0.22615885,0.48696153,0.28687961,0.00544140
368,0.23017814,0.48711916,0.28270270,0.00579880
369,0.23993181,0.48032601,0.27974218,0.01224931
370,0.24992859,0.47594144,0.27412998,0.01227424
371,0.25256134,0.47196027,0.27547839,0.00495977
372,0.24889190,0.46967784,0.28143026,0.00735521
373,0.24548973,0.47621835,0.27829192,0.00801262
374,0.24698815,0.47654718,0.27646467,0.00238583
375,0.24762118,0.46919527,0.28318355,0.00997971
376,0.25683667,0.46130594,0.28185739,0.01220351
377,0.25486394,0.46358244,0.28155362,0.00302761
378,0.26325051,0.45760002,0.27914946,0.01057847
379,0.25985801,0.44978226,0.29035973,0.01408178
380,0.25330966,0.45485265,0.29183769,0.00841273
381,0.26397855,0.44803641,0.28798504,0.01323365
382,0.25497974,0.45732930,0.28769096,0.01293920
383,0.26279174,0.44700130,0.29020696,0.01319186
384,0.26118749,0.44104830,0.29776421,0.00975316
385,0.26516567,0.43847817,0.29635616,0.00494106
386,0.25841829,0.44705122,0.29453050,0.01106152
387,0.25777050,0.44941627,0.29281323,0.00299368
388,0.25295033,0.47017935,0.27687032,0.02661797
389,0.25644798,0.47582238,0.26772964,0.01129731
390,0.25047520,0.48784112,0.26168368,0.01471999
391,0.26041385,0.47701941,0.26256673,0.01471958
392,0.26274257,0.47944218,0.25781525,0.00581973
393,0.25781157,0.48727159,0.25491684,0.00969615
394,0.24681115,0.50006094,0.25312790,0.01696399
395,0.24272240,0.50456523,0.25271236,0.00609748
396,0.25171609,0.49550893,0.25277498,0.01276351
397,0.25510276,0.50036423,0.24453301,0.01014759
398,0.25734552,0.50833462,0.23431985,0.01314784
399,0.25753700,0.50234800,0.24011499,0.00833426
400,0.24543309,0.51820878,0.23635813,0.02030229
401,0.24031159,0.52036716,0.23932125,0.00629829
402,0.24045731,0.51945629,0.24008640,0.00119849
403,0.23791183,0.52564621,0.23644195,0.00762080
404,0.24178019,0.52119345,0.23702636,0.00592729
405,0.23889665,0.52358086,0.23752249,0.00377633
406,0.24287786,0.52320340,0.23391875,0.00538326
407,0.23414359,0.53601059,0.22984582,0.01602811
408,0.23279723,0.53654102,0.23066175,0.00166126
409,0.23036616,0.54065126,0.22898258,0.00506200
410,0.22957731,0.53476393,0.23565876,0.00893612
411,0.22822095,0.53576498,0.23601407,0.00172280
412,0.23318085,0.52145151,0.24536764,0.01780351
413,0.23240382,0.52195780,0.24563838,0.00096613
414,0.24057598,0.51575778,0.24366624,0.01044576
415,0.24746416,0.50434856,0.24818727,0.01407327
416,0.24543229,0.50127465,0.25329306,0.00629654
417,0.25052135,0.49902743,0.25045122,0.00624696
418,0.24557136,0.50431162,0.25011701,0.00724822
419,0.24132017,0.51060170,0.24807813,0.00786097
420,0.23606567,0.51357084,0.25036349,0.00645355
421,0.23875249,0.51026950,0.25097801,0.00430064
422,0.23791175,0.50817794,0.25391030,0.00369862
423,0.24696663,0.49974798,0.25328539,0.01238731
424,0.25012987,0.49810034,0.25176980,0.00387528
425,0.26168398,0.48230842,0.25600760,0.02002102
426,0.26778807,0.48418387,0.24802806,0.01022009
427,0.26443075,0.48061553,0.25495372,0.00848347
428,0.26909712,0.47008747,0.26081542,0.01292187
429,0.27507928,0.45982586,0.26509486,0.01262539
430,0.27497943,0.46285871,0.26216186,0.00422026
431,0.27353158,0.46614375,0.26032467,0.00403275
432,0.28469240,0.45907932,0.25622829,0.01382933
433,0.29286065,0.44842382,0.25871553,0.01365453
434,0.29970286,0.44803167,0.25226547,0.00941132
435,0.29579284,0.44873429,0.25547286,0.00510581
436,0.29645801,0.45501206,0.24852992,0.00938388
437,0.29538954,0.45876734,0.24584312,0.00473948
438,0.30056184,0.45800825,0.24142991,0.00684145
439,0.29753641,0.46555189,0.23691170,0.00929913
440,0.29427284,0.47666672,0.22906044,0.01399402
441,0.29861554,0.46824209,0.23314238,0.01031967
442,0.29159732,0.46144088,0.24696180,0.01692597
443,0.30019023,0.46354133,0.23626844,0.01387796
444,0.29846775,0.46239881,0.23913343,0.00353277
445,0.29641190,0.46931610,0.23427199,0.00870110
446,0.29836755,0.46251514,0.23911731,0.00857641
447,0.31015320,0.44750457,0.24234223,0.01935507
448,0.30699428,0.44561149,0.24739423,0.00625182
449,0.29270727,0.45827707,0.24901565,0.01916154
450,0.29291422,0.46355258,0.24353321,0.00761124
451,0.29283557,0.46028305,0.24688138,0.00468041
452,0.30075110,0.45915937,0.24008953,0.01049036
453,0.30521534,0.44666372,0.24812094,0.01551046
454,0.29903733,0.44568480,0.25527787,0.00950514
455,0.31040932,0.43462378,0.25496690,0.01586710
456,0.30810956,0.43024824,0.26164220,0.00830625
457,0.31068322,0.42847418,0.26084261,0.00322651
458,0.31016673,0.42422629,0.26560698,0.00640395
459,0.30595260,0.42439616,0.26965123,0.00584326
460,0.31206024,0.41412772,0.27381204,0.01265135
461,0.31985918,0.40945903,0.27068179,0.00961346
462,0.32541797,0.40268921,0.27189282,0.00884292
463,0.32074881,0.41064640,0.26860479,0.00979434
464,0.32267981,0.41098937,0.26633082,0.00300288
465,0.31701512,0.42034417,0.26264071,0.01154201
466,0.31925016,0.42040554,0.26034430,0.00320509
467,0.32585812,0.41161424,0.26252764,0.01121245
468,0.32604083,0.41546757,0.25849160,0.00558311
469,0.32361097,0.42176492,0.25462411,0.00777935
470,0.32577284,0.42890292,0.24532424,0.01192109
471,0.32172999,0.42397143,0.25429858,0.01100923
472,0.31943295,0.42040121,0.26016584,0.00724207
473,0.30993789,0.42158885,0.26847326,0.01267201
474,0.30745356,0.41445780,0.27808864,0.01222617
475,0.30094247,0.41918072,0.27987681,0.00824001
476,0.29596199,0.42318420,0.28085381,0.00646433
477,0.30084768,0.42168991,0.27746241,0.00613224
478,0.30357122,0.42022746,0.27620131,0.00333869
479,0.31259898,0.41184893,0.27555209,0.01233377
480,0.31451531,0.40519376,0.28029093,0.00839167
481,0.32686953,0.39912469,0.27400578,0.01513154
482,0.32250574,0.39773794,0.27975632,0.00735081
483,0.32412585,0.39267188,0.28320227,0.00633754
484,0.31925725,0.39104459,0.28969816,0.00827937
485,0.32164174,0.38155404,0.29680422,0.01209348
486,0.31582511,0.39018160,0.29399328,0.01077819
487,0.31806132,0.38062485,0.30131383,0.01224429
488,0.31961653,0.37390800,0.30647547,0.00861262
489,0.32795520,0.37425581,0.29778899,0.01204614
490,0.32109906,0.38064955,0.29825139,0.00938617
491,0.32601885,0.37738458,0.29659656,0.00613211
492,0.31952447,0.38207273,0.29840279,0.00821086
493,0.31573591,0.39227733,0.29198676,0.01263537
494,0.31129158,0.39052880,0.29817963,0.00782055
495,0.30587237,0.39791100,0.29621663,0.00936579
496,0.31060874,0.39172036,0.29767091,0.00792919
497,0.30046578,0.39626769,0.30326654,0.01244463
498,0.30423144,0.39251306,0.30325550,0.00531767
499,0.29570980,0.38858315,0.31570705,0.01559179
500,0.29388519,0.38337628,0.32273853,0.00893769
501,0.28928504,0.38917748,0.32153748,0.00750052
502,0.28825107,0.39041454,0.32133439,0.00162501
503,0.28671623,0.38680684,0.32647694,0.00646662
504,0.29016761,0.38227975,0.32755264,0.00579342
505,0.28669313,0.38576545,0.32754142,0.00492161
506,0.28440480,0.38814946,0.32744575,0.00330592
507,0.28167332,0.38735586,0.33097082,0.00452956
508,0.27332919,0.39449444,0.33217637,0.01104704
509,0.27774956,0.39275545,0.32949499,0.00545468
510,0.27529926,0.39011863,0.33458211,0.00623182
511,0.26443888,0.38812109,0.34744003,0.01694887
512,0.26021442,0.39549764,0.34428794,0.00906616
513,0.25019981,0.40127822,0.34852197,0.01231399
514,0.25257468,0.40844061,0.33898472,0.01216137
515,0.26230917,0.39255523,0.34513560,0.01961986
516,0.26165269,0.38630626,0.35204105,0.00933627
517,0.26325742,0.38079713,0.35594546,0.00694046
518,0.26211793,0.37308646,0.36479561,0.01179313
519,0.26954783,0.38280213,0.34765004,0.02106106
520,0.26462580,0.38403938,0.35133483,0.00627176
521,0.26676128,0.38420678,0.34903194,0.00314509
