idx,neo_t,neo_S,neo_N,neo_C,eva_t,eva_S,eva_N,eva_C
0,0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0,0.3333333333333333,0.3333333333333333,0.3333333333333333
1,1,0.3333333333333333,0.3333333333333333,0.3333333333333333,1,0.3333333333333333,0.3333333333333333,0.3333333333333333
2,2,0.3333333333333333,0.3333333333333333,0.3333333333333333,2,0.3333333333333333,0.3333333333333333,0.3333333333333333
3,3,0.3333333333333333,0.3333333333333333,0.3333333333333333,3,0.3333333333333333,0.3333333333333333,0.3333333333333333
4,4,0.3333333333333333,0.3333333333333333,0.3333333333333333,4,0.3333333333333333,0.3333333333333333,0.3333333333333333
5,5,0.3333333333333333,0.3333333333333333,0.3333333333333333,5,0.3333333333333333,0.3333333333333333,0.3333333333333333
6,6,0.3333333333333333,0.3333333333333333,0.3333333333333333,6,0.3333333333333333,0.3333333333333333,0.3333333333333333
7,7,0.3333333333333333,0.3333333333333333,0.3333333333333333,7,0.3333333333333333,0.3333333333333333,0.3333333333333333
8,8,0.3333333333333333,0.3333333333333333,0.3333333333333333,8,0.3333333333333333,0.3333333333333333,0.3333333333333333
9,9,0.3333333333333333,0.3333333333333333,0.3333333333333333,9,0.3333333333333333,0.3333333333333333,0.3333333333333333
10,10,0.3333333333333333,0.3333333333333333,0.3333333333333333,10,0.3333333333333333,0.3333333333333333,0.3333333333333333
11,11,0.3333333333333333,0.3333333333333333,0.3333333333333333,11,0.3333333333333333,0.3333333333333333,0.3333333333333333
12,12,0.3333333333333333,0.3333333333333333,0.3333333333333333,12,0.3333333333333333,0.3333333333333333,0.3333333333333333
13,13,0.3333333333333333,0.3333333333333333,0.3333333333333333,13,0.3333333333333333,0.3333333333333333,0.3333333333333333
14,14,0.3333333333333333,0.3333333333333333,0.3333333333333333,14,0.3333333333333333,0.3333333333333333,0.3333333333333333
15,15,0.3333333333333333,0.3333333333333333,0.3333333333333333,15,0.3333333333333333,0.3333333333333333,0.3333333333333333
16,16,0.3333333333333333,0.3333333333333333,0.3333333333333333,16,0.3333333333333333,0.3333333333333333,0.3333333333333333
17,17,0.3333333333333333,0.3333333333333333,0.3333333333333333,17,0.3333333333333333,0.3333333333333333,0.3333333333333333
18,18,0.3333333333333333,0.3333333333333333,0.3333333333333333,18,0.3333333333333333,0.3333333333333333,0.3333333333333333
19,19,0.3333333333333333,0.3333333333333333,0.3333333333333333,19,0.3333333333333333,0.3333333333333333,0.3333333333333333
20,20,0.3333333333333333,0.3333333333333333,0.3333333333333333,20,0.3333333333333333,0.3333333333333333,0.3333333333333333
21,21,0.3333333333333333,0.3333333333333333,0.3333333333333333,21,0.3333333333333333,0.3333333333333333,0.3333333333333333
22,22,0.3333333333333333,0.3333333333333333,0.3333333333333333,22,0.3333333333333333,0.3333333333333333,0.3333333333333333
23,23,0.3333333333333333,0.3333333333333333,0.3333333333333333,23,0.3333333333333333,0.3333333333333333,0.3333333333333333
24,24,0.3333333333333333,0.3333333333333333,0.3333333333333333,24,0.3333333333333333,0.3333333333333333,0.3333333333333333
25,25,0.3333333333333333,0.3333333333333333,0.3333333333333333,25,0.3333333333333333,0.3333333333333333,0.3333333333333333
26,26,0.3333333333333333,0.3333333333333333,0.3333333333333333,26,0.3333333333333333,0.3333333333333333,0.3333333333333333
27,27,0.3333333333333333,0.3333333333333333,0.3333333333333333,27,0.3333333333333333,0.3333333333333333,0.3333333333333333
28,28,0.3333333333333333,0.3333333333333333,0.3333333333333333,28,0.3333333333333333,0.3333333333333333,0.3333333333333333
29,29,0.3333333333333333,0.3333333333333333,0.3333333333333333,29,0.3333333333333333,0.3333333333333333,0.3333333333333333
30,30,0.3333333333333333,0.3333333333333333,0.3333333333333333,30,0.3333333333333333,0.3333333333333333,0.3333333333333333
31,31,0.3333333333333333,0.3333333333333333,0.3333333333333333,31,0.3333333333333333,0.3333333333333333,0.3333333333333333
32,32,0.3333333333333333,0.3333333333333333,0.3333333333333333,32,0.3333333333333333,0.3333333333333333,0.3333333333333333
33,33,0.3333333333333333,0.3333333333333333,0.3333333333333333,33,0.3333333333333333,0.3333333333333333,0.3333333333333333
34,34,0.3333333333333333,0.3333333333333333,0.3333333333333333,34,0.3333333333333333,0.3333333333333333,0.3333333333333333
35,35,0.3333333333333333,0.3333333333333333,0.3333333333333333,35,0.3333333333333333,0.3333333333333333,0.3333333333333333
36,36,0.3333333333333333,0.3333333333333333,0.3333333333333333,36,0.3333333333333333,0.3333333333333333,0.3333333333333333
37,37,0.3333333333333333,0.3333333333333333,0.3333333333333333,37,0.3333333333333333,0.3333333333333333,0.3333333333333333
38,38,0.3333333333333333,0.3333333333333333,0.3333333333333333,38,0.3333333333333333,0.3333333333333333,0.3333333333333333
39,39,0.3333333333333333,0.3333333333333333,0.3333333333333333,39,0.3333333333333333,0.3333333333333333,0.3333333333333333
40,40,0.3333333333333333,0.3333333333333333,0.3333333333333333,40,0.3333333333333333,0.3333333333333333,0.3333333333333333
41,41,0.3333333333333333,0.3333333333333333,0.3333333333333333,41,0.3333333333333333,0.3333333333333333,0.3333333333333333
42,42,0.3333333333333333,0.3333333333333333,0.3333333333333333,42,0.3333333333333333,0.3333333333333333,0.3333333333333333
43,43,0.3333333333333333,0.3333333333333333,0.3333333333333333,43,0.3333333333333333,0.3333333333333333,0.3333333333333333
44,44,0.3333333333333333,0.3333333333333333,0.3333333333333333,44,0.3333333333333333,0.3333333333333333,0.3333333333333333
45,45,0.3333333333333333,0.3333333333333333,0.3333333333333333,45,0.3333333333333333,0.3333333333333333,0.3333333333333333
46,46,0.3333333333333333,0.3333333333333333,0.3333333333333333,46,0.3333333333333333,0.3333333333333333,0.3333333333333333
47,47,0.3333333333333333,0.3333333333333333,0.3333333333333333,47,0.3333333333333333,0.3333333333333333,0.3333333333333333
48,48,0.3333333333333333,0.3333333333333333,0.3333333333333333,48,0.3333333333333333,0.3333333333333333,0.3333333333333333
49,49,0.3333333333333333,0.3333333333333333,0.3333333333333333,49,0.3333333333333333,0.3333333333333333,0.3333333333333333
50,50,0.3333333333333333,0.3333333333333333,0.3333333333333333,50,0.3333333333333333,0.3333333333333333,0.3333333333333333
51,51,0.3333333333333333,0.3333333333333333,0.3333333333333333,51,0.3333333333333333,0.3333333333333333,0.3333333333333333
52,52,0.3333333333333333,0.3333333333333333,0.3333333333333333,52,0.3333333333333333,0.3333333333333333,0.3333333333333333
53,53,0.3333333333333333,0.3333333333333333,0.3333333333333333,53,0.3333333333333333,0.3333333333333333,0.3333333333333333
54,54,0.3333333333333333,0.3333333333333333,0.3333333333333333,54,0.3333333333333333,0.3333333333333333,0.3333333333333333
55,55,0.3333333333333333,0.3333333333333333,0.3333333333333333,55,0.3333333333333333,0.3333333333333333,0.3333333333333333
56,56,0.3333333333333333,0.3333333333333333,0.3333333333333333,56,0.3333333333333333,0.3333333333333333,0.3333333333333333
57,57,0.3333333333333333,0.3333333333333333,0.3333333333333333,57,0.3333333333333333,0.3333333333333333,0.3333333333333333
58,58,0.3333333333333333,0.3333333333333333,0.3333333333333333,58,0.3333333333333333,0.3333333333333333,0.3333333333333333
59,59,0.3333333333333333,0.3333333333333333,0.3333333333333333,59,0.3333333333333333,0.3333333333333333,0.3333333333333333
60,60,0.3333333333333333,0.3333333333333333,0.3333333333333333,60,0.3333333333333333,0.3333333333333333,0.3333333333333333
61,61,0.3333333333333333,0.3333333333333333,0.3333333333333333,61,0.3333333333333333,0.3333333333333333,0.3333333333333333
62,62,0.3333333333333333,0.3333333333333333,0.3333333333333333,62,0.3333333333333333,0.3333333333333333,0.3333333333333333
63,63,0.3333333333333333,0.3333333333333333,0.3333333333333333,63,0.3333333333333333,0.3333333333333333,0.3333333333333333
64,64,0.3333333333333333,0.3333333333333333,0.3333333333333333,64,0.3333333333333333,0.3333333333333333,0.3333333333333333
65,65,0.3333333333333333,0.3333333333333333,0.3333333333333333,65,0.3333333333333333,0.3333333333333333,0.3333333333333333
66,66,0.3333333333333333,0.3333333333333333,0.3333333333333333,66,0.3333333333333333,0.3333333333333333,0.3333333333333333
67,67,0.3333333333333333,0.3333333333333333,0.3333333333333333,67,0.3333333333333333,0.3333333333333333,0.3333333333333333
68,68,0.3333333333333333,0.3333333333333333,0.3333333333333333,68,0.3333333333333333,0.3333333333333333,0.3333333333333333
69,69,0.3333333333333333,0.3333333333333333,0.3333333333333333,69,0.3333333333333333,0.3333333333333333,0.3333333333333333
