t,S,N,C,delta,phase4_active
10479,0.99751958,0.00150282,0.00097760,0.00007481,1
10480,0.99752134,0.00148866,0.00098999,0.00001890,1
10481,0.99741162,0.00156127,0.00102710,0.00013670,1
10482,0.99741317,0.00156460,0.00102222,0.00000611,1
10483,0.99731149,0.00162667,0.00106183,0.00012554,1
10484,0.99736745,0.00155768,0.00107487,0.00008979,1
10485,0.99739715,0.00154029,0.00106255,0.00003655,1
10486,0.99732483,0.00161324,0.00106193,0.00010272,1
10487,0.99733236,0.00159319,0.00107445,0.00002481,1
10488,0.99715637,0.00173660,0.00110703,0.00022935,1
10489,0.99720416,0.00172430,0.00107154,0.00006079,1
10490,0.99734542,0.00162155,0.00103303,0.00017887,1
10491,0.99742414,0.00155825,0.00101761,0.00010218,1
10492,0.99739760,0.00158009,0.00102231,0.00003469,1
10493,0.99731010,0.00165398,0.00103592,0.00011533,1
10494,0.99719910,0.00173403,0.00106688,0.00014031,1
10495,0.99714047,0.00177367,0.00108585,0.00007327,1
10496,0.99710538,0.00182180,0.00107282,0.00006097,1
10497,0.99725744,0.00172328,0.00101928,0.00018893,1
10498,0.99718331,0.00175599,0.00106070,0.00009100,1
10499,0.99710645,0.00178953,0.00110402,0.00009439,1
