t,S,N,C,delta,phase4_active
10109,0.99751217,0.00115579,0.00133205,0.00010273,1
10110,0.99749725,0.00113330,0.00136945,0.00004613,1
10111,0.99756971,0.00110688,0.00132341,0.00008983,1
10112,0.99756336,0.00109988,0.00133675,0.00001635,1
10113,0.99754903,0.00109724,0.00135372,0.00002237,1
10114,0.99755048,0.00110031,0.00134922,0.00000564,1
10115,0.99740908,0.00113555,0.00145538,0.00018029,1
10116,0.99751881,0.00111742,0.00136377,0.00014409,1
10117,0.99750109,0.00114848,0.00135043,0.00003817,1
10118,0.99751353,0.00112375,0.00136272,0.00003029,1
10119,0.99745711,0.00115739,0.00138550,0.00006953,1
10120,0.99750806,0.00116300,0.00132894,0.00007633,1
10121,0.99736868,0.00124719,0.00138413,0.00017194,1
10122,0.99734097,0.00126413,0.00139490,0.00003421,1
10123,0.99744008,0.00121437,0.00134556,0.00012138,1
10124,0.99739017,0.00126053,0.00134931,0.00006808,1
10125,0.99713519,0.00139765,0.00146716,0.00031258,1
10126,0.99708838,0.00144748,0.00146414,0.00006844,1
10127,0.99704746,0.00148716,0.00146538,0.00005700,1
10128,0.99703315,0.00150166,0.00146519,0.00002038,1
10129,0.99690403,0.00155584,0.00154014,0.00015882,1
10130,0.99710988,0.00144437,0.00144575,0.00025241,1
10131,0.99717034,0.00141785,0.00141181,0.00007423,1
10132,0.99723214,0.00138518,0.00138267,0.00007573,1
10133,0.99738952,0.00131037,0.00130011,0.00019282,1
10134,0.99728064,0.00136219,0.00135717,0.00013339,1
10135,0.99721226,0.00138501,0.00140274,0.00008528,1
10136,0.99737858,0.00131294,0.00130848,0.00020430,1
10137,0.99744224,0.00125673,0.00130103,0.00008525,1
10138,0.99756476,0.00122942,0.00120582,0.00015755,1
10139,0.99753990,0.00122254,0.00123756,0.00004090,1
10140,0.99759745,0.00116275,0.00123980,0.00008302,1
10141,0.99756984,0.00116455,0.00126561,0.00003785,1
10142,0.99768999,0.00109221,0.00121779,0.00014818,1
10143,0.99769798,0.00108132,0.00122070,0.00001382,1
10144,0.99765054,0.00109022,0.00125924,0.00006177,1
10145,0.99769198,0.00105614,0.00125188,0.00005416,1
10146,0.99772638,0.00104454,0.00122908,0.00004287,1
10147,0.99768103,0.00105545,0.00126352,0.00005797,1
10148,0.99769263,0.00106123,0.00124614,0.00002168,1
10149,0.99772368,0.00106832,0.00120800,0.00004968,1
10150,0.99773482,0.00106249,0.00120269,0.00001365,1
10151,0.99767619,0.00104898,0.00127483,0.00009393,1
10152,0.99763469,0.00107910,0.00128621,0.00005252,1
10153,0.99769648,0.00104718,0.00125634,0.00007569,1
10154,0.99771975,0.00107847,0.00120178,0.00006706,1
10155,0.99769725,0.00107016,0.00123259,0.00003904,1
10156,0.99770061,0.00105001,0.00124938,0.00002644,1
10157,0.99769067,0.00103486,0.00127447,0.00003095,1
10158,0.99776529,0.00102187,0.00121284,0.00009765,1
10159,0.99764822,0.00108780,0.00126398,0.00014376,1
10160,0.99760547,0.00109353,0.00130100,0.00005683,1
10161,0.99748389,0.00114369,0.00137242,0.00014967,1
10162,0.99755631,0.00110229,0.00134140,0.00008901,1
10163,0.99753897,0.00110749,0.00135355,0.00002180,1
10164,0.99760077,0.00104115,0.00135808,0.00009078,1
10165,0.99751354,0.00111499,0.00137147,0.00011506,1
10166,0.99747011,0.00111110,0.00141879,0.00006435,1
10167,0.99728037,0.00116546,0.00155417,0.00023935,1
10168,0.99723505,0.00118959,0.00157537,0.00005554,1
10169,0.99710368,0.00121921,0.00167712,0.00016879,1
10170,0.99699063,0.00123254,0.00177684,0.00015133,1
10171,0.99704108,0.00119492,0.00176400,0.00006423,1
10172,0.99704469,0.00118775,0.00176756,0.00000878,1
10173,0.99693314,0.00124656,0.00182030,0.00013668,1
10174,0.99682516,0.00129967,0.00187517,0.00013226,1
10175,0.99696742,0.00122876,0.00180382,0.00017424,1
10176,0.99679182,0.00131357,0.00189461,0.00021511,1
10177,0.99686648,0.00123814,0.00189538,0.00010613,1
10178,0.99670575,0.00132795,0.00196630,0.00019731,1
10179,0.99665021,0.00133172,0.00201807,0.00007602,1
10180,0.99667457,0.00136241,0.00196302,0.00006757,1
10181,0.99674611,0.00131885,0.00193504,0.00008831,1
10182,0.99659220,0.00138345,0.00202435,0.00018931,1
10183,0.99661179,0.00137306,0.00201515,0.00002401,1
10184,0.99669812,0.00130171,0.00200017,0.00011299,1
10185,0.99663872,0.00137128,0.00199001,0.00009204,1
10186,0.99664978,0.00140753,0.00194268,0.00006063,1
10187,0.99638119,0.00147202,0.00214680,0.00034346,1
10188,0.99640146,0.00148144,0.00211710,0.00003717,1
10189,0.99639767,0.00148485,0.00211748,0.00000512,1
10190,0.99645145,0.00144613,0.00210242,0.00006796,1
10191,0.99640219,0.00146748,0.00213033,0.00006051,1
10192,0.99637098,0.00142864,0.00220038,0.00008596,1
10193,0.99643164,0.00137930,0.00218906,0.00007901,1
10194,0.99655227,0.00133915,0.00210858,0.00015047,1
10195,0.99643918,0.00136565,0.00219517,0.00014488,1
10196,0.99626419,0.00141314,0.00232268,0.00022166,1
10197,0.99630829,0.00144392,0.00224779,0.00009219,1
10198,0.99628432,0.00149893,0.00221675,0.00006756,1
10199,0.99634248,0.00148951,0.00216801,0.00007647,1
10200,0.99623539,0.00155785,0.00220676,0.00013282,1
10201,0.99622789,0.00157247,0.00219964,0.00001791,1
10202,0.99611382,0.00160312,0.00228306,0.00014461,1
10203,0.99608304,0.00161415,0.00230281,0.00003820,1
10204,0.99616944,0.00161057,0.00221999,0.00011974,1
10205,0.99625410,0.00160141,0.00214449,0.00011380,1
10206,0.99646249,0.00148283,0.00205469,0.00025604,1
10207,0.99672506,0.00139343,0.00188151,0.00032700,1
10208,0.99682749,0.00139305,0.00177945,0.00014460,1
10209,0.99703261,0.00132494,0.00164245,0.00025590,1
10210,0.99711591,0.00130935,0.00157474,0.00010847,1
10211,0.99704819,0.00135545,0.00159636,0.00008473,1
10212,0.99701557,0.00135801,0.00162642,0.00004443,1
10213,0.99699824,0.00135358,0.00164818,0.00002816,1
10214,0.99693743,0.00137900,0.00168357,0.00007481,1
10215,0.99697382,0.00136342,0.00166276,0.00004472,1
10216,0.99707302,0.00134754,0.00157944,0.00013052,1
10217,0.99711879,0.00130188,0.00157933,0.00006465,1
10218,0.99705923,0.00132954,0.00161123,0.00007301,1
10219,0.99703730,0.00137668,0.00158602,0.00005778,1
10220,0.99709803,0.00136783,0.00153415,0.00008035,1
10221,0.99716774,0.00136500,0.00146726,0.00009665,1
10222,0.99710603,0.00143142,0.00146254,0.00009078,1
10223,0.99709729,0.00142514,0.00147756,0.00001848,1
10224,0.99705713,0.00148647,0.00145640,0.00007630,1
10225,0.99706838,0.00149728,0.00143434,0.00002702,1
10226,0.99706528,0.00149790,0.00143681,0.00000402,1
10227,0.99692491,0.00159210,0.00148299,0.00017525,1
10228,0.99698034,0.00159292,0.00142674,0.00007898,1
10229,0.99704105,0.00161499,0.00134396,0.00010500,1
10230,0.99693622,0.00169951,0.00136426,0.00013618,1
10231,0.99691169,0.00171017,0.00137814,0.00003013,1
10232,0.99690551,0.00169758,0.00139691,0.00002344,1
10233,0.99695802,0.00167202,0.00136997,0.00006431,1
10234,0.99693555,0.00165141,0.00141304,0.00005277,1
10235,0.99696213,0.00161624,0.00142163,0.00004492,1
10236,0.99694525,0.00158979,0.00146497,0.00005350,1
10237,0.99677157,0.00161508,0.00161334,0.00022982,1
10238,0.99692226,0.00157362,0.00150412,0.00019067,1
10239,0.99683161,0.00161991,0.00154848,0.00011103,1
10240,0.99678296,0.00165011,0.00156693,0.00006017,1
10241,0.99670249,0.00166295,0.00163456,0.00010589,1
10242,0.99659878,0.00167249,0.00172873,0.00014042,1
10243,0.99670278,0.00164022,0.00165700,0.00013040,1
10244,0.99659086,0.00171026,0.00169887,0.00013851,1
10245,0.99642935,0.00183884,0.00173181,0.00020906,1
10246,0.99643743,0.00182444,0.00173813,0.00001768,1
10247,0.99621655,0.00191180,0.00187164,0.00027248,1
10248,0.99623296,0.00190333,0.00186371,0.00002010,1
10249,0.99634725,0.00189259,0.00176017,0.00015458,1
10250,0.99624897,0.00195259,0.00179844,0.00012134,1
10251,0.99615888,0.00203364,0.00180748,0.00012152,1
10252,0.99629831,0.00196815,0.00173353,0.00017088,1
10253,0.99609878,0.00204172,0.00185950,0.00024717,1
10254,0.99592634,0.00214274,0.00193092,0.00021224,1
10255,0.99580515,0.00224880,0.00194605,0.00016175,1
10256,0.99587048,0.00212718,0.00200235,0.00014910,1
10257,0.99595347,0.00210177,0.00194476,0.00010417,1
10258,0.99594782,0.00205117,0.00200101,0.00007587,1
10259,0.99595574,0.00209037,0.00195389,0.00006181,1
10260,0.99577228,0.00215926,0.00206846,0.00022699,1
10261,0.99609861,0.00202934,0.00187206,0.00040242,1
10262,0.99609446,0.00204784,0.00185770,0.00002378,1
10263,0.99588431,0.00217209,0.00194361,0.00025881,1
10264,0.99604344,0.00209375,0.00186282,0.00019491,1
10265,0.99602196,0.00214352,0.00183452,0.00006115,1
10266,0.99589549,0.00220073,0.00190379,0.00015512,1
10267,0.99611085,0.00203608,0.00185307,0.00027579,1
10268,0.99631620,0.00197040,0.00171341,0.00025688,1
10269,0.99637201,0.00195641,0.00167158,0.00007113,1
10270,0.99632835,0.00195910,0.00171255,0.00005994,1
10271,0.99644617,0.00185402,0.00169981,0.00015838,1
10272,0.99628691,0.00187929,0.00183380,0.00020965,1
10273,0.99636309,0.00187007,0.00176684,0.00010184,1
10274,0.99613272,0.00203346,0.00183382,0.00029026,1
10275,0.99626348,0.00201170,0.00172482,0.00017162,1
10276,0.99616799,0.00202403,0.00180798,0.00012722,1
10277,0.99624400,0.00192051,0.00183549,0.00013134,1
10278,0.99621309,0.00202255,0.00176436,0.00012817,1
10279,0.99642518,0.00191875,0.00165607,0.00025977,1
10280,0.99654302,0.00181169,0.00164530,0.00015958,1
10281,0.99629582,0.00194824,0.00175593,0.00030330,1
