time_tag,satellite,flux,observed_flux,electron_correction,electron_contaminaton,energy
2025-11-29T05:30:00Z,18,1.0535315908555276e-07,1.568795937600953e-07,5.1526431121828864e-08,False,0.05-0.4nm
2025-11-29T05:30:00Z,18,2.886711854444002e-06,2.911351430157083e-06,2.463973913791051e-08,False,0.1-0.8nm
2025-11-29T05:31:00Z,18,1.0361098645716993e-07,1.5660398844374868e-07,5.299300198657875e-08,False,0.05-0.4nm
2025-11-29T05:31:00Z,18,2.8952442789886845e-06,2.919860435213195e-06,2.4616085170237056e-08,False,0.1-0.8nm
2025-11-29T05:32:00Z,18,1.0643817205391315e-07,1.5987276924533944e-07,5.343460429685365e-08,False,0.05-0.4nm
2025-11-29T05:32:00Z,18,2.9206562430772465e-06,2.9450777674355777e-06,2.4421497712978635e-08,False,0.1-0.8nm
2025-11-29T05:33:00Z,18,1.2334089660726022e-07,1.753115412839179e-07,5.1970641123944006e-08,False,0.05-0.4nm
2025-11-29T05:33:00Z,18,3.003013034685864e-06,3.026529384442256e-06,2.351622363505612e-08,False,0.1-0.8nm
2025-11-29T05:34:00Z,18,1.6237690658726933e-07,2.1380202497311984e-07,5.142511838585051e-08,False,0.05-0.4nm
2025-11-29T05:34:00Z,18,3.218515985281556e-06,3.2417060538136866e-06,2.3190061426703323e-08,False,0.1-0.8nm
2025-11-29T05:35:00Z,18,2.0430574920737854e-07,2.5546893311911845e-07,5.116319456988094e-08,False,0.05-0.4nm
2025-11-29T05:35:00Z,18,3.444890353421215e-06,3.4671588764467742e-06,2.2268521249202422e-08,False,0.1-0.8nm
2025-11-29T05:36:00Z,18,2.0636259989714745e-07,2.5660003188932023e-07,5.023742843945911e-08,False,0.05-0.4nm
2025-11-29T05:36:00Z,18,3.540590796546894e-06,3.5620364542410243e-06,2.1445591968927147e-08,False,0.1-0.8nm
2025-11-29T05:37:00Z,18,1.7040848376836948e-07,2.2046023673283344e-07,5.0051763622604994e-08,False,0.05-0.4nm
2025-11-29T05:37:00Z,18,3.437721943555516e-06,3.4594227145134937e-06,2.1700586216866213e-08,False,0.1-0.8nm
2025-11-29T05:38:00Z,18,1.411315508903499e-07,1.938138751711449e-07,5.2682324280795e-08,False,0.05-0.4nm
2025-11-29T05:38:00Z,18,3.301980541436933e-06,3.324326371512143e-06,2.2345787442645815e-08,False,0.1-0.8nm
2025-11-29T05:39:00Z,18,1.2364343149329216e-07,1.7607953850529157e-07,5.243611411742677e-08,False,0.05-0.4nm
2025-11-29T05:39:00Z,18,3.2188620480155805e-06,3.242080310883466e-06,2.3218374778366524e-08,False,0.1-0.8nm
2025-11-29T05:40:00Z,18,1.1968694479946862e-07,1.6912690625758842e-07,4.9439961458119797e-08,False,0.05-0.4nm
2025-11-29T05:40:00Z,18,3.2002517400542274e-06,3.222286522941431e-06,2.203474736006683e-08,False,0.1-0.8nm
2025-11-29T05:41:00Z,18,1.1402314470387864e-07,1.6361832422262523e-07,4.959517241331923e-08,False,0.05-0.4nm
2025-11-29T05:41:00Z,18,3.197149908373831e-06,3.2190253023145488e-06,2.1875543154692423e-08,False,0.1-0.8nm
2025-11-29T05:42:00Z,18,1.2685632100328803e-07,1.7689386311303679e-07,5.0037545662462435e-08,False,0.05-0.4nm
2025-11-29T05:42:00Z,18,3.2713855944166426e-06,3.2929967801464954e-06,2.161126921862433e-08,False,0.1-0.8nm
2025-11-29T05:43:00Z,18,1.5841160916352237e-07,2.0845850201567373e-07,5.004688929943768e-08,False,0.05-0.4nm
2025-11-29T05:43:00Z,18,3.5120481243211543e-06,3.533245717335376e-06,2.1197724464627754e-08,False,0.1-0.8nm
2025-11-29T05:44:00Z,18,1.7771925797660515e-07,2.275964874343117e-07,4.987723301042024e-08,False,0.05-0.4nm
2025-11-29T05:44:00Z,18,3.778624204642256e-06,3.800928197961184e-06,2.230388673751804e-08,False,0.1-0.8nm
2025-11-29T05:45:00Z,18,1.8372794841070572e-07,2.3250818514952698e-07,4.878024029153494e-08,False,0.05-0.4nm
2025-11-29T05:45:00Z,18,3.707999894686509e-06,3.7297954804671463e-06,2.179560709691941e-08,False,0.1-0.8nm
2025-11-29T05:46:00Z,18,2.0764176156262693e-07,2.5562971472936624e-07,4.798796382488035e-08,False,0.05-0.4nm
2025-11-29T05:46:00Z,18,3.841746092803078e-06,3.8630473682133015e-06,2.1301325148215255e-08,False,0.1-0.8nm
2025-11-29T05:47:00Z,18,1.5542647702204704e-07,2.04140164328237e-07,4.871367664804893e-08,False,0.05-0.4nm
2025-11-29T05:47:00Z,18,3.4992151540791383e-06,3.5198313526052516e-06,2.06162980020963e-08,False,0.1-0.8nm
2025-11-29T05:48:00Z,18,1.427589353397707e-07,1.9153645780534134e-07,4.877752957099801e-08,False,0.05-0.4nm
2025-11-29T05:48:00Z,18,3.3623816761974012e-06,3.3825920127128484e-06,2.0210359608086037e-08,False,0.1-0.8nm
2025-11-29T05:49:00Z,18,1.53396229052305e-07,2.008896728966647e-07,4.749343673893236e-08,False,0.05-0.4nm
2025-11-29T05:49:00Z,18,3.415096898606862e-06,3.434805421420606e-06,1.9708334519918935e-08,False,0.1-0.8nm
2025-11-29T05:50:00Z,18,1.3171224111374613e-07,1.746380178246909e-07,4.2925776710944774e-08,False,0.05-0.4nm
2025-11-29T05:50:00Z,18,3.219246991648106e-06,3.23648805533594e-06,1.7240953553709915e-08,False,0.1-0.8nm
2025-11-29T05:51:00Z,18,1.171399617305724e-07,1.5966162436598097e-07,4.252166974083593e-08,False,0.05-0.4nm
