time_tag,dsflag_de1,dsflag_de4,dsflag_p1,dsflag_p3,dsflag_p5,dsflag_p7,dsflag_fp6p,numpts_de1,numpts_de4,numpts_p1,numpts_p3,numpts_p5,numpts_p7,numpts_fp6p,de1,de4,p1,p3,p5,p7,fp6p,fp6p_ratio,dsflag_p2,dsflag_p4,dsflag_p6,dsflag_p8,numpts_p2,numpts_p4,numpts_p6,numpts_p8,p2,p4,p6,p8,dsflag_p1_30,dsflag_p2_30,dsflag_p4_30,dsflag_p3_30,dsflag_p5_30,dsflag_p6_30,dsflag_p7_30,dsflag_p8_30,numpts_p1_30,numpts_p2_30,numpts_p3_30,numpts_p4_30,numpts_p5_30,numpts_p6_30,numpts_p7_30,numpts_p8_30,p1_30,p2_30,p3_30,p4_30,p5_30,p6_30,p7_30,p8_30
2025-12-06T04:10:00,0,0,0,0,0,0,0,47,47,187,187,187,93,93,3070.0242,17.53684,9115.3711,89.032738,19.906368,3.6172998,12.617239,,0,0,0,0,187,187,93,93,365.3797,32.746891,9.2265062,0.69794291,0,0,0,0,0,0,0,0,47,47,47,47,23,23,23,23,12805.343,4333500.0,354082.06,1573.2837,29.35157,12.984618,4.3939676,0.94345045
2025-12-06T04:05:00,0,0,0,0,0,0,0,48,48,194,194,194,97,97,3357.1223,14.315157,10447.896,106.09358,19.911093,3.6700168,12.429043,,0,0,0,0,194,194,97,97,602.47571,34.974216,9.2277832,0.70661104,0,0,0,0,0,0,0,0,48,48,48,48,24,24,24,23,13474.884,4339838.0,355766.78,1743.3009,27.406521,14.027369,4.7582488,0.92248064
2025-12-06T04:00:00,0,0,0,0,0,0,0,45,45,180,180,180,91,91,2972.1458,15.700838,9517.8496,95.999535,18.257145,3.7814419,12.04767,,0,0,0,0,180,180,91,91,487.07169,35.655277,8.8031235,0.72946972,0,0,0,0,0,0,0,0,44,44,44,44,23,23,23,23,12766.248,4294927.0,349885.03,1701.1421,29.651592,14.132358,4.6424818,0.88728482
2025-12-06T03:50:00,0,0,0,0,0,0,0,48,48,192,192,192,96,96,3572.7761,14.109429,8299.3838,70.113159,16.737469,2.9954238,12.129001,,0,0,0,0,192,192,96,96,195.44495,27.330708,7.9033122,0.71749681,0,0,0,0,0,0,0,0,48,48,48,48,24,24,24,24,12935.985,4251012.0,333107.0,1415.5544,27.40844,12.799165,4.60041,0.67591155
2025-12-06T03:45:00,0,0,0,0,0,0,0,46,46,182,182,182,91,91,2951.7703,12.673339,8784.25,110.50057,19.652668,3.3310335,11.082354,,0,0,0,0,182,182,91,91,455.62204,36.937904,8.7953367,0.70763743,0,0,0,0,0,0,0,0,46,46,46,46,23,23,23,23,13014.267,4331938.5,362179.53,1679.7811,28.474577,12.36402,4.8355074,0.87467647
2025-12-06T03:40:00,0,0,0,0,0,0,0,48,48,191,191,191,95,95,3007.3845,18.708599,8124.8125,62.074692,17.342989,3.434576,11.974214,,0,0,0,0,191,191,95,95,167.43983,29.370275,8.7869797,0.78505427,0,0,0,0,0,0,0,0,48,48,48,48,24,24,24,24,12120.597,4254800.0,338086.09,1547.6278,26.825514,13.528566,4.5812716,0.95728952
2025-12-06T03:35:00,0,0,0,0,0,0,0,47,47,190,190,190,95,95,3193.9209,16.434673,8333.9404,63.770073,16.285273,3.1466022,10.94419,,0,0,0,0,190,190,95,95,192.64914,30.507874,8.9463043,0.71018881,0,0,0,0,0,0,0,0,47,47,47,47,24,24,24,24,13070.688,4284416.5,345846.28,1623.9247,25.330744,14.683073,4.4325919,0.9315896
2025-12-06T03:30:00,0,0,0,0,0,0,0,46,46,182,182,182,91,91,3101.2341,15.09704,8269.624,72.659637,18.476875,3.7583179,12.488222,,0,0,0,0,182,182,91,91,259.23361,32.890057,8.8247395,0.68347466,0,0,0,0,0,0,0,0,46,46,46,46,23,23,23,23,13306.203,4334083.0,355409.5,1558.9894,25.871389,10.837321,4.3792677,0.95886689
2025-12-06T03:25:00,0,0,0,0,0,0,0,48,48,193,193,193,96,96,3198.825,20.076862,8252.8496,72.584152,17.215246,3.5951617,11.342602,,0,0,0,0,193,193,96,96,229.8573,29.55279,7.6949296,0.70984584,0,0,0,0,0,0,0,0,48,48,48,48,24,24,24,24,12604.011,4336203.5,354418.0,1576.0851,28.491035,11.333504,4.5955505,0.86934805
2025-12-06T03:20:00,0,0,0,0,0,0,0,47,47,188,188,188,94,94,2895.1323,14.858277,8159.9658,63.119812,19.200226,3.7630422,10.234712,,0,0,0,0,188,188,94,94,152.5596,34.822147,8.9961767,0.84282249,0,0,0,0,0,0,0,0,47,47,47,47,23,23,23,23,13220.49,4329392.5,358545.31,1511.03,22.451059,11.102457,4.6435766,0.95871168
